fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;alc_over_density;free_tot_so2_ratio;sulphates_chlorides;citric_over_volatile;sugar_over_density
7.8;0.25;0.37;1.0;0.043;10.0;80.0;0.99128;3.08;0.38;11.4;11.500270861642662;0.12499999843750002;8.837003790609522;1.47999408002368;1.0087956896177772
5.8;0.17;0.34;1.8;0.045;96.0;170.0;0.99035;3.38;0.9;11.8;11.914967521616074;0.5647058790311419;19.99955556543188;1.9999882353633214;1.8175374185516044
6.0;0.26;0.42;5.2;0.027;70.0;178.0;0.9914;3.4;0.4;12.3;12.406685085046314;0.39325842475697514;14.814266138291174;1.61537840239076;5.245102637580556
7.6;0.25;0.34;1.3;0.056;34.0;176.0;0.99434;3.1;0.51;9.5;9.554066462109075;0.1931818170841942;9.106980232495848;1.3599945600217602;1.3073985684991367
6.9;0.28;0.22;10.0;0.052;36.0;131.0;0.99696;3.08;0.46;9.6;9.62926333126371;0.2748091582075637;8.845983731082095;0.7857114796018586;10.030482636733032
9.0;0.245;0.38;5.9;0.045;52.0;159.0;0.995;2.93;0.35;10.2;10.251245978647257;0.3270440231003521;7.777604942112397;1.5510140774935612;5.929642281766551
7.0;0.25;0.45;2.3;0.045;40.0;118.0;0.99064;3.16;0.48;11.9;12.012424278825529;0.33898304797471995;10.666429634897002;1.7999928000288001;2.3217290622940094
7.6;0.13;0.34;9.3;0.062;40.0;126.0;0.9966;3.21;0.39;9.6;9.632741689000913;0.31746031494079113;6.2902211254657185;2.6153644971961754;9.331718511219636
5.1;0.35;0.26;6.8;0.034;36.0;120.0;0.99188;3.38;0.4;11.5;11.594132763910187;0.2999999975;11.764359871768477;0.7428550204142275;6.85566111257298
7.2;0.25;0.28;14.4;0.055;55.0;205.0;0.9986;3.12;0.38;9.0;9.012608639486642;0.2682926816180845;6.908965291540154;1.1199955200179201;14.420173823178626
7.1;0.36;0.37;4.8;0.019;39.0;114.0;0.99036;3.08;0.49;12.7;12.823606745419093;0.3421052601569714;25.78811641492553;1.0277749228474367;4.846717510079658
7.0;0.15;0.28;14.7;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;9.018749981210936;0.19463087117697403;7.646908884139528;1.866654222305185;14.730624969311197
6.2;0.28;0.22;7.3;0.041;26.0;157.0;0.9957;3.44;0.64;9.8;9.842312099716683;0.16560509448659175;15.609375381088265;0.7857114796018586;7.331518196727732
7.0;0.23;0.42;5.1;0.042;37.0;144.0;0.99518;3.5;0.59;10.2;10.249391819176612;0.256944442660108;14.047284588462178;1.8260790170477519;5.124695909588306
7.0;0.24;0.47;1.3;0.043;18.0;131.0;0.99176;3.19;0.45;11.0;11.091381895436502;0.13740457910378184;10.464872909932328;1.9583251736451097;1.3107996785515865
6.4;0.105;0.29;1.1;0.035;44.0;140.0;0.99142;3.17;0.55;10.7;10.792589626404927;0.31428571204081635;15.7138367475215;2.761878458300397;1.1095185597238713
5.9;0.19;0.37;0.8;0.027;3.0;21.0;0.9897;3.09;0.31;10.8;10.9123866703176;0.14285713605442207;11.48105625717566;1.9473581717990958;0.8083249385420446
5.8;0.3;0.42;1.1;0.036;19.0;113.0;0.98871;3.1;0.46;12.6;12.743865497602433;0.1681415914323753;12.777422849365296;1.399995333348889;1.1125596862986253
7.6;0.52;0.49;14.0;0.034;37.0;156.0;0.9958;3.14;0.38;11.8;11.849757130189667;0.23717948565910588;11.176141878180053;0.9423058801809996;14.059033883275875
6.8;0.45;0.28;26.05;0.031;27.0;122.0;1.00295;3.06;0.42;10.6;10.56881143744809;0.2213114735958076;13.547950066126898;0.6222208395092457;25.973352636370073
6.3;0.27;0.23;2.9;0.047;13.0;100.0;0.9936;3.28;0.43;9.8;9.863114066914184;0.1299999987;9.148741516137955;0.8518486968566784;2.9186766116378706
7.5;0.23;0.32;9.2;0.038;54.0;191.0;0.9966;3.04;0.56;9.7;9.733082748261339;0.28272251160878265;14.736454303834112;1.391298298703049;9.231377451959208
6.0;0.29;0.21;1.3;0.055;42.0;168.0;0.9914;3.32;0.43;11.1;11.196276784066185;0.24999999851190477;7.8180396720059635;0.7241354340157449;1.311275659395139
6.7;0.24;0.3;3.85;0.042;105.0;179.0;0.99189;3.04;0.59;11.3;11.392380816037246;0.5865921754938984;14.047284588462178;1.249994791688368;3.8814748798003005
6.6;0.21;0.29;5.35;0.029;43.0;106.0;0.99112;2.93;0.43;11.5;11.603023243377953;0.4056603735315059;14.827074928450742;1.380945805019976;5.397928204528004
7.6;0.21;0.44;1.9;0.036;10.0;119.0;0.9913;3.01;0.7;12.8;12.912324309165431;0.08403361273921334;19.443904335990666;2.095228117961343;1.9166731396417434
8.1;0.5;0.47;1.1;0.037;23.0;126.0;0.9938;3.21;0.42;10.9;10.967990573565533;0.18253968109095492;11.351044566363072;0.9399981200037599;1.1068614340295493
6.3;0.17;0.23;5.7;0.048;44.0;147.0;0.99382;3.08;0.54;10.0;10.06217417422252;0.29931972585496786;11.249765629882711;1.3529332180398939;5.735439279306837
8.4;0.22;0.3;8.9;0.024;17.0;118.0;0.99456;2.99;0.34;10.5;10.5574218172641;0.144067795389256;14.166076413482772;1.3636301653174303;8.94867182606195
9.1;0.27;0.45;10.6;0.035;28.0;124.0;0.997;3.2;0.46;10.4;10.431283418973502;0.22580644979188347;13.142481643381617;1.666660493850023;10.63188502318453
6.0;0.28;0.25;1.8;0.042;8.0;108.0;0.9929;3.08;0.55;9.0;9.064347805068179;0.07407407338820303;13.094926311278304;0.8928539540930212;1.8128695610136358
7.3;0.22;0.49;9.9;0.031;48.0;161.0;0.9937;3.01;0.28;11.2;11.270996003828111;0.29813664411095253;9.031966710751266;2.227262603351803;9.96275539624092
8.7;0.24;0.35;0.6;0.042;11.0;71.0;0.9926;3.08;0.38;10.6;10.679014024769266;0.15492957528268203;9.047403633246827;1.4583272569697625;0.6044724919680717
7.0;0.13;0.37;12.85;0.042;36.0;105.0;0.99581;3.05;0.55;10.7;10.745010850452545;0.3428571395918368;13.094926311278304;2.846131952831132;12.904055086758431
8.2;0.37;0.64;13.9;0.043;22.0;171.0;0.99873;2.99;0.8;9.3;9.311816695386446;0.1286549700078657;18.60421850654636;1.7297250547971494;13.917661512459311
8.6;0.23;0.46;1.0;0.054;9.0;72.0;0.9941;2.95;0.49;9.1;9.15399944271256;0.12499999826388891;9.073906038777059;1.999991304385633;1.005934004693688
7.2;0.21;0.36;15.7;0.045;68.0;183.0;0.99922;3.25;0.76;9.4;9.407328308752518;0.37158469742303446;16.88851358858692;1.7142775510592807;15.712239834831333
5.8;0.24;0.26;10.05;0.039;63.0;162.0;0.99375;3.33;0.5;11.2;11.270428910260215;0.3888888864883402;12.820184097843645;1.0833288194632522;10.113197370367427
6.0;0.24;0.33;2.5;0.026;31.0;85.0;0.99014;3.13;0.5;11.3;11.412515995196644;0.3647058780622838;19.230029614245606;1.374994270857205;2.524892919291293
7.1;0.26;0.34;14.4;0.067;35.0;189.0;0.9986;3.07;0.53;9.1;9.112748735480936;0.1851851842053694;7.910329696571693;1.3076872781258535;14.420173823178626
7.6;0.39;0.22;2.8;0.036;19.0;113.0;0.9926;3.03;0.29;10.2;10.276032363457219;0.1681415914323753;8.05533179633899;0.5641011176894418;2.8208716291843343
5.8;0.345;0.15;10.8;0.033;26.0;120.0;0.99494;3.25;0.49;10.0;10.050847236167773;0.21666666486111114;14.848034908033089;0.4347813484598596;10.854915015061195
6.5;0.3;0.32;2.0;0.044;34.0;90.0;0.99185;3.37;0.68;11.0;11.090375469702606;0.37777777358024694;15.454194222858574;1.066663111122963;2.016431903582292
6.1;0.34;0.21;5.0;0.042;17.0;133.0;0.99373;3.02;0.53;9.4;9.459300353918717;0.12781954791113123;12.618747172686364;0.6176452422198758;5.031542741446126
5.7;0.25;0.26;12.5;0.049;52.5;120.0;0.99691;3.08;0.45;9.4;9.429126571980849;0.4374999963541667;9.183486051305074;1.03999584001664;12.538732143591554
7.2;0.23;0.39;14.2;0.058;49.0;192.0;0.9979;2.98;0.48;9.0;9.018930735614054;0.2552083320041233;8.275719384148548;1.695644801544341;14.229868493968839
7.5;0.14;0.74;1.6;0.035;21.0;126.0;0.9933;3.26;0.45;10.2;10.268790628419783;0.16666666534391536;12.856775520699408;5.285676530881922;1.6107906868109467
8.3;0.23;0.3;2.1;0.049;21.0;153.0;0.9953;3.09;0.5;9.6;9.645323374536948;0.13725490106369345;10.203873390338972;1.3043421550341083;2.1099144881799576
7.6;0.39;0.32;3.6;0.035;22.0;93.0;0.99144;3.08;0.6;12.5;12.607911111200767;0.2365591372412996;17.142367360932543;0.8205107166391882;3.631078400025821
6.0;0.2;0.26;6.8;0.049;22.0;93.0;0.9928;3.15;0.42;11.0;11.079763215387574;0.2365591372412996;8.571253647884737;1.2999935000324998;6.849308169512319
8.0;0.44;0.49;9.1;0.031;46.0;151.0;0.9926;3.16;0.27;12.7;12.794667746657517;0.3046357595719486;8.709396471081579;1.1136338326503803;9.167832794849087
7.2;0.4;0.49;1.1;0.048;11.0;138.0;0.9929;3.01;0.42;9.3;9.366492731903785;0.07971014434992649;8.749817712130996;1.2249969375076561;1.1078647317305552
6.4;0.28;0.22;12.8;0.039;51.0;150.0;0.99535;3.23;0.43;10.7;10.749976641405896;0.33999999773333334;11.025358324145534;0.7857114796018586;12.859785141121073
6.9;0.38;0.25;9.8;0.04;28.0;191.0;0.9971;3.28;0.61;9.2;9.226748343447653;0.14659685787122065;15.24961875953101;0.6578930055447223;9.828492800629023
7.6;0.23;0.4;5.2;0.066;14.0;91.0;0.99488;3.17;0.8;9.7;9.749909788205825;0.1538461521555368;12.121028469265617;1.7391228733788113;5.226755762749515
7.5;0.38;0.33;9.2;0.043;19.0;116.0;0.99444;3.08;0.42;11.4;11.463726857601406;0.16379310203626637;9.76721471593684;0.8684187673190334;9.25142869209938
6.5;0.17;0.54;8.5;0.082;64.0;163.0;0.9959;2.89;0.39;8.8;8.836219664404394;0.39263803440099365;4.756039560493164;3.1764519032240988;8.53498490311788
6.7;0.23;0.31;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;10.7;10.779759440097278;0.31249999674479173;13.91274102736897;1.3478202268685788;2.115653721888251
6.8;0.33;0.44;7.0;0.05;29.0;155.0;0.9955;3.14;0.42;9.5;9.542933658529725;0.18709677298647243;8.399832003359933;1.3333292929415366;7.031635327337692
6.2;0.45;0.73;7.2;0.099;47.0;202.0;0.99582;3.21;0.43;9.2;9.2386081434314;0.23267326617488482;4.343390470803325;1.6222186172919615;7.2302150687724
6.5;0.3;0.28;11.45;0.041;29.0;109.0;0.99418;2.98;0.3;10.9;10.96379834255533;0.2660550434306877;7.316894709885124;0.9333302222325928;11.517017524977845
6.0;0.33;0.27;0.8;0.185;12.0;188.0;0.9924;3.12;0.62;9.4;9.471977557459132;0.06382978689452241;3.3513332360365617;0.8181793388504884;0.80612574957099
6.1;0.25;0.18;10.5;0.049;41.0;124.0;0.9963;3.14;0.35;10.5;10.538983700708922;0.33064515862382937;7.14271137323728;0.71999712001152;10.538983700708922
6.3;0.33;0.42;17.2;0.037;57.0;170.0;0.99884;3.26;0.57;9.4;9.410907241492891;0.3352941156747405;15.404989054349882;1.2727234159896486;17.21995793124231
6.5;0.32;0.23;8.5;0.051;20.0;138.0;0.9943;3.03;0.42;10.7;10.761328812904743;0.14492753518168452;8.235132644457952;0.7187477539132691;8.548719150438348
6.6;0.29;0.29;1.8;0.036;38.0;102.0;0.98819;3.08;0.42;13.7;13.863716629679889;0.3725490159554018;11.6663426015944;0.9999965517360286;1.8215102141185255
7.2;0.16;0.35;1.2;0.031;27.0;84.0;0.9928;3.33;0.34;9.9;9.971786893848817;0.32142856760204086;10.967388148769395;2.1874863282104484;1.2087014416786446
6.8;0.2;0.25;6.2;0.052;22.0;106.0;0.9935;3.09;0.54;10.8;10.870648343584959;0.2075471678533286;10.384415684313764;1.2499937500312497;6.240557382428402
6.0;0.29;0.41;10.8;0.048;55.0;149.0;0.9937;3.09;0.59;10.9666666666667;11.036183587081728;0.36912751430115764;12.29141059561259;1.4137882283164542;10.868460432262824
6.6;0.3;0.74;4.6;0.041;36.0;159.0;0.9946;3.21;0.45;9.9;9.953740243575062;0.22641509291562836;10.975342064827686;2.466658444471852;4.6249702141863915
6.8;0.27;0.3;13.0;0.047;69.0;160.0;0.99705;3.16;0.5;9.6;9.628394134302056;0.43124999730468755;10.63807153039297;1.1111069959000153;13.038450390200701
6.2;0.32;0.45;2.9;0.029;37.0;94.0;0.98998;3.25;0.6;12.4;12.52549291350036;0.3936170170891807;20.688941760628943;1.406245605482483;2.929349149125084
7.2;0.34;0.28;10.4;0.108;43.0;187.0;0.99738;2.96;0.57;9.4;9.424683245419754;0.22994652283451059;5.2777289099175;0.8235269896265012;10.427309122592069
6.4;0.22;0.56;14.5;0.055;27.0;159.0;0.998;2.98;0.4;9.1;9.118227336445553;0.16981131968672125;7.272595043726478;2.5454429752592036;14.529043558072587
7.4;0.18;0.36;13.1;0.056;72.0;163.0;1.0;3.42;0.35;9.1;9.0999909000091;0.4417177887011179;6.249888394850092;1.999988888950617;13.0999869000131
6.2;0.32;0.16;7.0;0.045;30.0;136.0;0.9949;3.18;0.47;9.6;9.649201277313018;0.22058823367214533;10.444212350836647;0.4999984375048828;7.035875931374076
6.5;0.39;0.23;5.4;0.051;25.0;149.0;0.9934;3.24;0.35;10.0;10.066428360752607;0.16778523377325347;6.862610537048293;0.5897420775844165;5.435871314806408
5.8;0.33;0.23;5.0;0.053;29.0;106.0;0.99458;3.13;0.52;9.0;9.049036730040086;0.2735849030793877;9.811135638950208;0.6969675849467123;5.027242627800049
7.0;0.31;0.31;9.1;0.036;45.0;140.0;0.99216;2.98;0.31;12.0;12.094811225194297;0.3214285691326531;8.610871920224438;0.9999967742039543;9.171898512439009
6.6;0.285;0.49;11.4;0.035;57.0;137.0;0.99732;3.08;0.54;8.9;8.923907147247476;0.4160583911236614;15.428130624839289;1.7192922130097792;11.430622638047328
6.9;0.32;0.15;8.1;0.046;51.0;180.0;0.9958;3.13;0.45;8.9;8.937528682939664;0.2833333317592593;9.782396034868807;0.46874853516082765;8.134155318181042
6.7;0.14;0.46;1.6;0.036;15.0;92.0;0.99264;3.37;0.49;10.9;10.980807764337762;0.16304347648865786;13.610733035193467;3.2856908164941676;1.61186169017802
7.8;0.3;0.29;16.85;0.054;23.0;135.0;0.9998;3.16;0.38;9.0;9.00179135647994;0.17037036910836764;7.036906723949556;0.9666634444551852;16.853353817409666
5.1;0.26;0.33;1.1;0.027;46.0;113.0;0.98946;3.35;0.43;11.4;11.521424290598619;0.40707964241522443;15.925336098663012;1.2692258875927402;1.1117163789174107
6.5;0.18;0.26;1.4;0.041;40.0;141.0;0.9941;3.34;0.72;9.5;9.556373044590037;0.2836879412504401;17.5605473037243;1.4444364197976678;1.4083076065711633
8.0;0.23;0.28;2.7;0.048;49.0;165.0;0.9952;3.26;0.72;9.5;9.545810343840088;0.29696969516988064;14.99968750651028;1.217386011365168;2.713019781933499
8.6;0.27;0.46;6.1;0.032;13.0;41.0;0.993;2.89;0.34;10.9;10.976826810849133;0.31707316299821553;10.624667979125652;1.7036973937133568;6.142994820750432
6.6;0.24;0.33;10.1;0.032;8.0;81.0;0.99626;3.19;0.51;9.8;9.836779719370726;0.09876543087943913;15.937001968688477;1.374994270857205;10.137905629147381
5.0;0.27;0.4;1.2;0.076;42.0;124.0;0.99204;3.32;0.47;10.1;10.181030824330849;0.3387096746878252;6.184129156195313;1.4814759945333538;1.2096274246729721
6.6;0.26;0.46;6.9;0.047;59.0;183.0;0.99594;3.2;0.45;9.3;9.337902546435984;0.322404369822927;9.574264377353673;1.7692239645232135;6.928121244129923
6.4;0.35;0.28;1.6;0.037;31.0;113.0;0.98779;3.12;0.4;14.2;14.375510609025593;0.274336280758086;10.810518634631498;0.7999977142922451;1.6197758432704896
7.0;0.22;0.26;2.8;0.036;44.0;132.0;0.99078;3.34;0.41;12.0;12.11165736928746;0.3333333308080808;11.388572539651676;1.181812809941773;2.826053386167074
8.5;0.21;0.26;9.25;0.034;73.0;142.0;0.9945;3.05;0.37;11.4;11.463035230733805;0.5140845034219401;10.88203288138584;1.2380893424317028;9.301147007393658
6.6;0.38;0.36;9.2;0.061;42.0;214.0;0.9976;3.31;0.56;9.4;9.422604828984735;0.19626168132587998;9.180177374141408;0.9473659279844001;9.222123875176548
6.5;0.26;0.31;1.3;0.034;59.0;145.0;0.98944;3.16;0.54;12.4;12.532328860437358;0.40689654891795485;15.881885826887444;1.1923031065265135;1.313873186981336
6.8;0.26;0.33;1.5;0.047;44.0;167.0;0.9928;3.12;0.44;10.5;10.57613761468814;0.2634730523145326;9.361502946745814;1.2692258875927402;1.5108768020983057
6.5;0.2;0.24;9.2;0.044;25.0;150.0;0.99502;3.22;0.44;10.5;10.552541102147593;0.16666666555555557;9.999772732437899;1.1999940000299998;9.24603601331027
7.9;0.31;0.22;13.3;0.048;46.0;212.0;0.99942;3.47;0.59;10.0;10.00579335435217;0.2169811310519758;12.29141059561259;0.7096751300802256;13.307705161288387
6.7;0.31;0.08;1.3;0.038;58.0;147.0;0.9922;3.18;0.46;10.0;10.078603024991912;0.3945578204451849;12.104944606720876;0.2580636836655366;1.3102183932489486
5.1;0.23;0.18;1.0;0.053;13.0;99.0;0.98956;3.22;0.39;11.5;11.621314906306937;0.13131312998673605;7.358351729212656;0.7826052930204651;1.0105491222875598
6.9;0.27;0.4;14.0;0.05;64.0;227.0;0.9979;3.18;0.58;9.6;9.62019278465499;0.28193832474917035;11.599768004639905;1.4814759945333538;14.029447810955194
6.8;0.2;0.28;12.6;0.048;54.0;136.0;0.99556;3.19;0.37;10.7;10.747709080608821;0.39705882060986164;7.708172746401116;1.3999930000349998;12.656180786511323
6.0;0.17;0.33;6.0;0.036;30.0;111.0;0.99362;3.32;0.58;10.15;10.215162521726091;0.270270267835403;16.11066359267798;1.9411650519702826;6.038519717276507
7.1;0.39;0.79;1.4;0.194;23.0;90.0;0.99212;3.17;0.46;10.5;10.583386502251237;0.2555555527160494;2.3711217983412456;2.0256358317029957;1.4111182003001648
6.0;0.41;0.05;1.5;0.063;17.0;120.0;0.9932;3.21;0.56;9.2;9.26297899418144;0.14166666548611112;8.888747797654005;0.1219509220709218;1.510268314268713
7.3;0.25;0.41;1.8;0.037;52.0;165.0;0.9911;3.29;0.39;12.2;12.309542619773362;0.315151513241506;10.54025566876571;1.63999344002624;1.8161620258682012
7.2;0.31;0.35;7.2;0.046;45.0;178.0;0.9955;3.14;0.53;9.7;9.743837525025086;0.2528089873437697;11.52148866328993;1.1290286160367224;7.2325391938330545
5.8;0.12;0.21;1.3;0.056;35.0;121.0;0.9908;3.32;0.33;11.4;11.505842242791438;0.2892561959565604;5.892751915144372;1.7499854167881934;1.312069729441129
6.0;0.31;0.27;2.3;0.042;19.0;120.0;0.98952;3.32;0.41;12.7;12.834492648463247;0.1583333320138889;9.761672341134734;0.870964932371186;2.3243569363358634
6.9;0.4;0.42;6.2;0.066;41.0;176.0;0.99552;3.12;0.54;9.4;9.442292025984385;0.2329545441309401;8.181694216754291;1.0499973750065625;6.227894740542892
5.9;0.445;0.26;1.4;0.027;23.0;109.0;0.99148;3.3;0.36;10.5;10.590218067718897;0.21100917237606265;13.332839524462056;0.5842683499587642;1.412029075695853
7.1;0.18;0.74;15.6;0.044;44.0;176.0;0.9996;3.38;0.67;9.0;9.003592433380918;0.24999999857954547;15.226926660757712;4.111088271731824;15.606226884526924
6.3;0.29;0.28;4.7;0.059;28.0;81.0;0.99036;3.24;0.56;12.7;12.823606745419093;0.345679008078037;9.491364553143168;0.9655139120209932;4.745744228619665
6.8;0.14;0.18;1.4;0.047;30.0;90.0;0.99164;3.27;0.54;11.2;11.294409972964006;0.3333333296296297;11.489117252824409;1.2857051021064134;1.4118012466205008
6.2;0.17;0.28;4.7;0.037;39.0;133.0;0.9931;3.41;0.46;10.8;10.875026809961929;0.2932330805020069;12.432096429826222;1.6470491350050882;4.732650556187135
6.5;0.35;0.31;10.2;0.069;58.0;170.0;0.99692;3.18;0.49;9.4;9.429031989495657;0.3411764685813149;7.101346357299168;0.8857117551092712;10.231502797112308
7.3;0.2;0.26;1.6;0.04;36.0;123.0;0.99238;3.34;0.44;10.8;10.882916944197843;0.2926829244497323;10.999725006874828;1.2999935000324998;1.6122839917330138
6.9;0.4;0.56;11.2;0.043;40.0;142.0;0.9975;3.14;0.46;8.7;8.72179576762329;0.28169013886133704;10.697425641264157;1.3999965000087502;11.228058919239176
6.2;0.36;0.26;13.2;0.051;54.0;201.0;0.9976;3.25;0.46;9.0;9.021642921368363;0.2686567150813099;9.019430991549186;0.7222202160549555;13.231742951340264
9.0;0.38;0.53;2.1;0.102;19.0;76.0;0.99001;2.93;0.57;12.9;13.030158250766911;0.24999999671052636;5.588180508034235;1.3947331717548113;2.1211885524504273
6.2;0.3;0.21;1.1;0.032;31.0;111.0;0.9889;2.97;0.42;12.2;12.336927558977086;0.27927927676324976;13.124589856566981;0.6999976666744445;1.1123459274487537
6.6;0.5;0.26;11.3;0.029;32.0;110.0;0.99302;3.27;0.78;12.9;12.99066182890392;0.2909090882644628;26.895624288817626;0.51999896000208;11.379416950900334
7.3;0.3;0.74;13.5;0.039;46.0;165.0;0.9982;3.02;0.4;8.7;8.715679507433872;0.2787878770982553;10.256147278274916;2.466658444471852;13.52433027015601
5.6;0.29;0.05;0.8;0.038;11.0;30.0;0.9924;3.36;0.35;9.2;9.270446120066383;0.36666665444444485;9.210283939896318;0.17241319857517737;0.80612574957099
6.1;0.34;0.46;4.7;0.029;21.0;94.0;0.991;3.29;0.62;12.3;12.411692823720662;0.22340425294250796;21.378573152649906;1.3529371972435376;4.742679371665619
6.5;0.3;0.39;7.8;0.038;61.0;219.0;0.9959;3.19;0.5;9.4;9.43868918697742;0.2785388115135214;13.157548485566169;1.2999956666811112;7.832103793449348
7.3;0.13;0.31;2.3;0.054;22.0;104.0;0.9924;3.24;0.92;11.5;11.58805765008298;0.2115384595044379;17.036721542193664;2.3845970415612188;2.317611530016596
6.7;0.17;0.42;10.4;0.038;85.0;182.0;0.99628;3.04;0.44;8.9;8.933222655054147;0.46703296446685183;11.57864266729823;2.470573702507632;10.438821978939677
5.9;0.2;0.23;1.5;0.037;38.0;93.0;0.99021;3.36;0.49;12.0;12.118629261844193;0.408602146144063;13.242885327423583;1.1499942500287499;1.514828657730524
7.6;0.29;0.42;1.3;0.035;18.0;86.0;0.9908;2.99;0.39;11.3;11.404913802065199;0.2093023231476474;11.142538784606153;1.4482708680314897;1.312069729441129
